nohup: ignoring input
 * Serving Flask app 'app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:4042
 * Running on http://128.118.54.16:4042
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [19/Jul/2026 11:51:27] "HEAD / HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 11:56:55] "GET / HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 11:56:55] "[36mGET /static/images/logo.png HTTP/1.1[0m" 304 -
10.14.21.55 - - [19/Jul/2026 11:57:07] "POST /information HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 12:02:51] "GET / HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 12:02:51] "[36mGET /static/images/logo.png HTTP/1.1[0m" 304 -
10.14.21.55 - - [19/Jul/2026 12:03:02] "GET / HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 12:03:02] "GET /static/images/logo.png HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 12:03:31] "GET /geometry-cache HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 12:03:33] "GET / HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 12:03:33] "[36mGET /static/images/logo.png HTTP/1.1[0m" 304 -
10.14.21.55 - - [19/Jul/2026 12:03:50] "GET /geometry-cache HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 12:03:53] "GET / HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 12:03:53] "[36mGET /static/images/logo.png HTTP/1.1[0m" 304 -
10.14.21.55 - - [19/Jul/2026 12:04:10] "GET /geometry-cache HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 12:06:28] "GET / HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 12:06:28] "[36mGET /static/images/logo.png HTTP/1.1[0m" 304 -
10.14.21.55 - - [19/Jul/2026 12:06:46] "GET /geometry-cache HTTP/1.1" 200 -
10.14.21.55 - - [19/Jul/2026 12:09:51] "POST /information HTTP/1.1" 200 -
